,kw/m2,degrees,degrees,degrees,kw/m2,kw,kw,kw,$/kwh,$/kwh,kw,kw,kw,%,kw,kw,kw,kw,kw,kw,kw,kw,kw,kw,kw,kw,kwh,%,$/KWH,kw,kw,kw,kw,
End Time,Global Solar,PV Solar Altitude,PV Solar Azimuth,PV Angle of Incidence,PV Incident Solar,PV Power Output,AC Primary Load,AC Primary Load Served,Grid Power Price,Grid Sellback Rate,Grid Purchases,Grid Sales,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Trojan L16P Maximum Charge Power,Trojan L16P Maximum Discharge Power,Trojan L16P Charge Power,Trojan L16P Discharge Power,Trojan L16P Input Power,Trojan L16P Energy Content,Trojan L16P State of Charge,Trojan L16P Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,
1/1/16 1:00,0,0,-158.6054,90,0,0,0.3942538,0.3942538,0.05,0,0.3942538,0,0.3942538,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.3942538,0,1000,7.103114,
1/1/16 2:00,0,0,-125.4175,90,0,0,0.3889374,0.3889374,0.05,0,0.3889374,0,0.3889374,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.3889374,0,1000,7.103114,
1/1/16 3:00,0,0,-106.9801,90,0,0,0.4602824,0.4602824,0.05,0,0.4602824,0,0.4602824,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4602824,0,1000,7.103114,
1/1/16 4:00,0,0,-94.83695,90,0,0,0.5117228,0.5117228,0.05,0,0.5117228,0,0.5117228,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.5117228,0,1000,7.103114,
1/1/16 5:00,0,0,-85.21238,90,0,0,0.5128615,0.5128615,0.05,0,0.5128615,0,0.5128615,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.5128615,0,1000,7.103114,
1/1/16 6:00,0,0,-76.49562,90,0,0,0.5030196,0.5030196,0.05,0,0.5030196,0,0.5030196,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.5030196,0,1000,7.103114,
1/1/16 7:00,0,0,-67.82518,90,0,0,0.434059,0.434059,0.05,0,0.434059,0,0.434059,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.434059,0,1000,7.103114,
1/1/16 8:00,0,0,-58.60413,90,0,0,0.576592,0.576592,0.05,0,0.576592,0,0.576592,0,0,0,0,0,0,0,0,0,7.103114,0,0,0,18.98794,100,0,0.576592,0,1000,7.103114,
1/1/16 9:00,0.01865154,10.02934,-48.33356,52.91359,0.01663968,0.1497571,0.430203,0.430203,0.12,0.05,0.2954215,0,0.430203,34.81081,0,0,0.1497571,0.1497571,0.1347814,0,0,0,7.103114,0,0,0,18.98794,100,0,0.430203,0.03743928,1000,7.252871,
1/1/16 10:00,0.09558912,17.82397,-36.59799,39.39359,0.08776083,0.7898474,0.4572262,0.4572262,0.12,0.05,0,0.2536365,0.7108626,111.1111,1.24E-08,0,0.7898474,0.7898474,0.7108626,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4572262,0.1974619,1000,7.892962,
1/1/16 11:00,0.1352236,23.58404,-23.18851,26.64949,0.1241393,1.117254,0.4165293,0.4165293,0.12,0.05,0,0.5889989,1.005528,111.1111,1.58E-08,0,1.117254,1.117254,1.005528,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4165293,0.2793134,1000,8.220367,
1/1/16 12:00,0.1771896,26.72748,-8.340975,16.73177,0.1672409,1.505168,0.4695294,0.4695294,0.12,0.05,0,0.8851216,1.354651,111.1111,2.03E-08,0,1.505168,1.505168,1.354651,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4695294,0.376292,1000,8.608282,
1/1/16 13:00,0.2144927,26.85092,7.119015,16.23197,0.2196168,1.976551,2.579587,2.579587,0.12,0.05,0.8006915,0,2.579587,76.62276,0,0,1.976551,1.976551,1.778896,0,0,0,7.103114,0,0,0,18.98794,100,0,2.579587,0.4941378,1000,9.079665,
1/1/16 14:00,0.1818525,23.93702,22.05277,25.70715,0.1819264,1.637338,0.4454578,0.4454578,0.45,0.2,0,1.028146,1.473604,111.1111,3.60E-08,0,1.637338,1.637338,1.473604,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4454578,0.4093344,1000,8.740452,
1/1/16 15:00,0.1468809,18.36462,35.59289,38.3397,0.1542439,1.388195,0.4272237,0.4272237,0.45,0.2,0,0.8221518,1.249376,111.1111,2.88E-08,0,1.388195,1.388195,1.249376,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4272237,0.3470488,1000,8.491309,
1/1/16 16:00,0.1014177,10.71021,47.45815,51.82534,0.1384973,1.246476,0.4759856,0.4759856,0.45,0.2,0,0.6458429,1.121828,111.1111,2.07E-08,0,1.246476,1.246476,1.121828,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4759856,0.311619,1000,8.34959,
1/1/16 17:00,0.02914302,1.540001,57.83161,65.57529,0.1019898,0.9179085,0.4367335,0.4367335,0.45,0.2,0,0.3893841,0.8261176,111.1111,1.17E-08,0,0.9179085,0.9179085,0.8261176,0,0,0,7.103114,0,0,0,18.98794,100,0,0.4367335,0.2294771,1000,8.021023,
1/1/16 18:00,0,0,67.11874,90,0,0,1.26013,1.26013,0.45,0.2,0,0,1.26013,0,0,0,0,1.400144,1.26013,0,0,0,7.103114,0,1.400144,-1.400144,17.46927,92.00191,0,1.26013,0,1000,7.103114,
1/1/16 19:00,0,0,75.81301,90,0,0,2.329905,2.329905,0.45,0.2,0,0,2.329905,0,0,0,0,2.588784,2.329905,0,0,0.8351783,6.393213,0,2.588784,-2.588784,14.66134,77.21395,0,2.329905,0,1000,6.393213,
1/1/16 20:00,0,0,84.49982,90,0,0,0.6594408,0.6594408,0.45,0.2,0,0,0.6594408,0,0,0,0,0.732712,0.6594408,0,0,0.9371396,5.198274,0,0.732712,-0.732712,13.8666,73.02847,0,0.6594408,0,1000,5.198274,
1/1/16 21:00,0,0,94.00839,90,0,0,0.4858882,0.4858882,0.05,0.02,1.527154,0,0.4858882,0,-1.43E-08,0,0,0,0,1.041266,0.9371396,0.9371396,5.064303,0.9371396,0,0.9371396,14.7306,77.57871,0.06535947,0.4858882,0,1000,5.064303,
1/1/16 22:00,0,0,105.8566,90,0,0,0.4709643,0.4709643,0.05,0.02,1.512231,0,0.4709643,0,-1.43E-08,0,0,0,0,1.041266,0.9371396,0.9371396,5.570212,0.9371396,0,0.9371396,15.5946,82.12897,0.06535947,0.4709643,0,1000,5.570212,
1/1/16 23:00,0,0,123.5545,90,0,0,0.4039754,0.4039754,0.05,0.02,0.4039754,0,0.4039754,0,0,0,0,0,0,0,0,0.9371396,5.924556,0,0,0,15.5946,82.12897,0.06535947,0.4039754,0,1000,5.924556,
1/2/16 0:00,0,0,155.2168,90,0,0,0.4196243,0.4196243,0.05,0.02,0.4196243,0,0.4196243,0,0,0,0,0,0,0,0,0.9371396,5.849195,0,0,0,15.5946,82.12897,0.06535947,0.4196243,0,1000,5.849195,
1/2/16 1:00,0,0,-159.0054,90,0,0,0.3400966,0.3400966,0.05,0,0.3400966,0,0.3400966,0,0,0,0,0,0,0,0,0.9371396,5.836353,0,0,0,15.5946,82.12897,0.06535947,0.3400966,0,1000,5.836353,
